"","fw101","fw000","fw102","fw103","fw104","fw105","fw106","fw107","fw108","fw109","fw110","fw111","fw112","fw113a","fw113b","fw113c","fw113d","fw113e","fw113f","fw113g","fw113h","fw113i","fw113x","fw113y","fw114","fw115","fw116","fw117","fw118"
"126",1407,"NG7",14,1,32,2,6,0,2,3,4,2,6,"A","","","D","","","","","","","",4,2,2,1,1
"127",1408,"NG7",15,1,47,1,1,4,2,3,6,2,6,"A","","","D","","","","","","","",4,1,1,1,1
"128",1409,"NG7",14,1,48,1,1,1,2,3,4,2,6,"A","","","D","","","","","","","",4,2,1,2,NA
"129",1410,"NG7",14,1,41,2,1,2,2,3,0,1,6,"A","","","D","","","","","","","",4,2,2,2,NA
"130",1501,"NG7",15,2,44,2,1,4,2,3,5,1,38,"A","B","C","","","","","","","","",4,1,1,1,1
"131",1502,"NG7",15,2,34,1,1,2,2,3,4,2,5,"A","","","","","","","","","X","",96,2,1,1,1
"132",1503,"NG7",15,2,40,1,1,3,2,3,4,2,96,"A","B","","","","","","","","","",96,2,1,1,1
"133",1504,"NG7",15,1,40,2,1,0,1,3,4,3,3,"A","B","","","","","","","","X","",2,1,1,1,1
"134",1505,"NG7",15,2,36,2,6,0,2,3,4,1,6,"A","","","D","","","","","","","",4,2,1,1,1
"135",1506,"NG7",26,1,38,2,1,4,2,3,4,1,6,"A","","","D","","","","","","","",4,2,1,1,1
"136",1507,"NG7",15,1,44,1,1,4,2,3,6,3,83,"A","B","","","","","","","","","",96,1,1,1,1
"137",1508,"NG7",15,1,33,2,6,0,2,3,6,2,3,"A","B","","","","","","","","X","",96,2,1,1,1
"138",1509,"NG7",15,1,49,1,1,3,2,3,7,2,10,"A","B","C","","","","","","","","",3,2,1,2,NA
"139",1510,"NG7",15,2,51,2,1,3,2,3,4,2,9,"","","","","","","","","","X","",96,2,1,2,NA
"140",1601,"NG7",16,1,38,2,1,2,2,3,6,2,96,"A","B","","","","","","","","X","",2,2,1,1,1
"141",1602,"NG7",16,2,42,2,6,0,2,3,4,1,96,"A","B","","","","","","","","X","",96,1,1,2,NA
"142",1603,"NG7",16,2,39,2,1,5,2,3,2,3,96,"A","B","","","","","","","","X","",96,2,1,1,1
"143",1604,"NG7",16,1,29,1,1,0,2,3,4,3,2,"A","B","","","","","","H","","","",8,2,1,2,NA
"144",1605,"NG7",16,2,43,2,3,4,1,3,2,3,96,"A","B","","","","","","","","X","",96,1,1,2,NA
"145",1606,"NG7",16,2,42,1,1,1,2,3,2,3,2,"A","B","","","","","","H","","","",8,1,1,1,2
"146",1607,"NG7",16,1,46,1,1,6,2,3,4,2,96,"A","B","","","","","","","","X","",96,1,1,1,1
"147",1608,"NG7",16,1,31,1,1,1,2,3,5,3,2,"A","B","","","","","","H","","","",8,2,2,2,NA
"148",1609,"NG7",16,1,44,1,1,6,2,3,5,3,2,"A","B","","","","","","H","","","",8,2,1,2,NA
"149",1701,"NG7",17,1,33,2,6,1,2,3,6,1,6,"A","","","D","","","","","","","",4,2,1,1,1
"150",1702,"NG7",17,2,34,1,1,0,2,3,4,1,6,"A","","","D","","","","","","","",4,2,1,1,1
"151",1703,"NG7",15,1,24,2,6,0,2,3,4,2,6,"A","","","D","","","","","","","",4,2,2,2,NA
"152",1704,"NG7",15,1,46,1,1,4,2,3,4,1,6,"A","B","C","D","","","","","","","",4,2,1,1,1
"153",1705,"NG7",17,1,35,2,1,1,2,3,4,2,6,"A","","","D","","","","","","","",4,1,1,1,1
"154",1706,"NG7",17,1,38,2,1,3,2,3,4,2,6,"A","","C","D","","","","","","","",4,1,1,2,NA
"155",1707,"NG7",17,2,49,2,3,6,2,3,4,2,6,"A","","","D","","","","","","","",4,2,1,2,NA
"156",1708,"NG7",17,1,43,1,1,3,2,3,4,1,6,"A","","","D","","","","","","","",4,1,1,1,1
"157",1709,"NG7",17,2,57,1,1,5,1,2,5,2,6,"A","","","D","","","","","","","",4,2,1,2,NA
"158",1710,"NG7",17,2,40,2,1,4,2,3,4,2,6,"A","","","D","","","","","","","",4,2,1,2,NA
"159",1801,"NG7",18,2,42,2,5,0,2,3,6,2,3,"A","B","","","","","","","","X","",96,1,1,1,1
"160",1802,"NG7",18,2,33,2,1,1,2,3,3,2,10,"A","B","C","","","","","","","","",3,2,1,1,1
"161",1803,"NG7",18,1,35,2,4,3,2,3,3,3,3,"A","B","","","","","","","","","",2,2,1,2,NA
"162",1804,"NG7",18,2,30,2,1,1,2,3,4,3,3,"A","B","","","","","","","","","",2,2,1,1,1
"163",1805,"NG7",18,1,26,1,6,0,2,3,4,3,3,"A","B","","","","","","","","","",2,2,1,2,NA
"164",1806,"NG7",20,1,26,1,6,0,2,3,4,3,3,"A","B","","","","","","","","","",2,2,1,2,NA
"165",1807,"NG7",18,2,42,1,1,7,1,3,2,3,3,"A","B","","","","","","","","","",2,2,1,1,1
"166",1808,"NG7",18,2,45,1,1,10,2,3,5,3,2,"A","B","","","","","","","","","",2,2,1,2,NA
"167",1809,"NG7",18,2,27,1,6,0,2,3,3,3,3,"A","B","","","","","","","","","",2,2,2,2,NA
"168",1901,"NG7",19,1,35,2,6,1,2,3,4,1,9,"A","B","","D","","","","","","","",4,2,1,1,1
